ID,INT1,STAB1,GLOB1,INT2,STAB2,GLOB2,INT3,STAB3,GLOB3,INT4,STAB4,GLOB4,INT5,STAB5,GLOB5,INT6,STAB6,GLOB6
36,7,6,5,4,2,1,2,4,7,6,4,1,7,4,7,4,4,1
38,6,4,6,4,6,5,6,5,2,4,2,4,6,4,5,5,5,5
39,4,5,5,3,2,6,6,6,4,5,5,3,6,6,5,4,6,4
40,4,4,4,4,3,5,3,2,5,4,4,4,6,5,6,4,4,6
41,4,4,4,6,4,2,6,5,4,4,4,4,6,4,3,4,4,5
42,1,4,7,1,4,7,5,2,7,1,1,1,6,1,1,1,4,1
43,6,6,5,7,6,6,7,6,6,5,5,6,5,5,6,4,3,6
44,7,3,1,7,1,1,1,4,2,1,3,1,4,4,2,4,3,1
45,5,5,7,7,4,3,4,4,1,2,4,7,5,4,4,4,4,7
46,6,6,5,7,6,7,7,5,7,7,4,6,7,5,7,6,6,6
47,2,2,1,7,4,5,5,5,6,5,4,5,4,6,5,6,5,6
48,4,5,2,1,3,2,3,4,4,4,3,2,3,7,1,4,5,1
49,7,5,3,4,3,5,6,5,3,2,5,4,4,4,4,5,5,3
50,5,5,5,2,2,1,5,5,5,2,2,2,6,4,5,5,3,2
51,6,4,6,4,4,2,4,3,2,4,3,4,4,5,4,5,4,4
52,7,1,1,7,4,4,1,7,7,7,1,1,7,7,7,7,4,1
53,3,5,6,6,5,5,7,6,6,5,4,2,5,6,7,5,3,5
55,7,1,2,7,1,1,4,3,2,7,1,1,7,7,7,4,4,1
56,5,4,2,7,3,5,6,4,1,5,3,2,3,5,5,5,4,3
57,7,4,5,7,7,6,5,4,4,4,4,4,7,7,5,5,4,3
58,3,5,2,4,3,2,7,6,5,7,3,6,7,6,6,4,5,4
59,5,4,5,6,4,5,5,5,5,2,3,4,7,7,6,4,6,6
60,6,6,7,7,4,1,7,1,3,2,4,4,2,4,5,4,4,4
61,6,2,3,2,6,7,6,4,2,1,7,7,6,7,7,7,7,7
62,6,2,6,6,6,1,4,5,5,4,4,4,5,5,5,4,4,4
63,1,1,1,5,3,3,4,2,3,3,1,4,1,5,5,1,2,2
64,4,4,4,4,3,3,2,3,3,5,3,3,5,4,3,7,7,6
65,4,7,4,2,6,5,6,4,5,4,3,5,5,5,5,4,5,5
66,6,4,4,2,5,4,1,1,1,1,2,2,2,5,7,6,5,2
67,6,5,3,7,4,5,7,5,4,7,4,4,5,5,3,4,4,4
68,6,5,5,6,3,3,6,5,5,3,3,4,6,5,5,4,4,4
69,5,2,6,2,4,1,7,7,7,5,4,4,5,4,5,4,4,5
70,4,7,7,1,4,6,3,4,3,7,6,5,1,2,7,4,4,4
71,6,2,3,7,1,4,6,2,3,5,3,3,6,2,6,4,3,3
72,2,5,5,6,3,4,4,5,5,4,2,3,4,5,6,4,3,5
73,3,7,7,6,6,6,1,5,5,1,2,3,2,6,7,4,4,6
74,6,3,3,3,2,3,6,3,2,4,5,2,6,6,3,4,5,3
75,4,5,4,3,3,2,5,5,5,4,3,2,5,6,6,5,5,5
76,3,4,2,6,3,5,7,6,2,2,4,1,6,4,3,4,4,4
77,5,5,5,2,2,2,4,5,5,5,4,3,6,5,5,5,5,4
78,5,7,1,7,3,2,7,2,2,7,6,5,7,3,5,4,4,2
79,6,6,5,3,4,2,4,3,2,4,2,1,6,4,2,4,3,2
80,1,6,2,1,4,5,7,7,3,7,5,5,2,6,7,4,4,4
81,4,5,2,4,4,4,3,3,4,2,3,4,2,6,6,2,3,4
82,6,5,4,4,3,3,4,6,6,5,5,5,4,5,6,6,6,6
83,4,2,2,5,4,4,7,5,5,6,5,4,5,5,4,7,3,3
84,7,6,6,3,4,6,7,4,4,7,1,1,1,4,4,4,4,2
85,1,3,1,4,4,4,7,1,1,2,2,2,7,4,7,4,2,1
86,6,5,6,4,4,4,6,7,6,4,4,3,2,6,6,4,4,4
87,4,5,1,1,3,1,2,2,1,1,2,2,3,3,3,3,2,4
88,7,7,5,3,2,7,6,6,5,2,5,5,7,6,5,6,5,6
89,3,6,5,6,5,2,2,6,6,7,6,3,5,5,2,6,3,2
90,5,4,6,3,3,1,4,5,5,2,2,2,6,5,6,4,5,6
91,5,4,4,2,2,4,4,2,4,5,6,5,6,4,5,4,5,5
92,7,4,3,2,4,2,3,4,2,5,4,4,7,5,5,4,2,4
93,4,2,3,3,5,2,4,6,6,7,5,6,6,5,6,5,6,6
94,3,4,3,7,3,5,6,4,4,7,6,6,7,6,6,7,4,4
95,4,7,1,7,1,4,4,4,4,4,4,4,4,4,4,4,4,4
96,6,7,1,7,4,2,6,2,5,7,6,3,4,2,3,4,4,2
97,3,5,2,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
98,4,7,4,7,1,5,7,7,1,7,4,7,7,7,7,5,5,5
99,6,6,2,5,4,4,5,4,2,5,5,2,2,6,6,4,2,1
100,5,4,5,6,6,5,6,5,5,6,5,4,6,6,5,5,4,4
101,5,6,6,2,2,7,6,5,2,5,5,5,3,7,7,4,4,5
102,4,5,1,5,7,4,6,7,7,5,5,6,2,3,3,6,7,7
103,4,5,5,4,3,1,4,2,5,5,4,6,4,5,2,4,4,2
104,3,5,4,5,5,3,5,4,6,5,5,5,6,6,6,5,6,6
105,7,4,6,7,2,6,6,4,6,5,3,2,6,5,7,4,4,4
106,4,3,2,5,4,6,4,7,7,7,7,7,6,4,5,4,4,6
107,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
108,7,5,7,6,3,6,6,6,7,6,6,6,7,7,5,6,6,5
109,1,4,1,4,3,1,2,2,1,1,2,1,2,3,2,3,3,1
110,2,5,4,2,5,5,5,4,2,3,4,5,7,6,6,5,4,5
111,5,4,5,7,7,5,4,5,5,4,4,2,7,6,5,4,5,2
112,5,3,3,4,4,3,5,4,4,3,3,3,6,2,6,5,3,6
113,6,6,2,4,5,6,6,5,5,2,2,5,6,6,5,2,5,5
114,4,4,5,5,3,1,5,5,2,5,2,2,6,4,5,5,4,5
115,5,5,4,6,3,5,5,4,4,2,4,4,4,4,4,4,4,4
116,3,2,1,1,2,1,3,2,1,1,1,1,5,5,5,4,4,4
117,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
118,6,4,5,5,2,4,5,5,6,3,5,3,5,3,5,5,5,6
119,7,5,2,4,5,5,4,4,3,6,5,3,5,5,5,4,5,5
120,6,7,2,4,7,6,4,2,2,4,2,4,6,6,6,5,6,2
121,7,4,2,6,5,5,7,5,3,6,3,5,7,5,5,4,4,3
122,5,4,5,4,2,5,4,2,5,6,4,6,3,4,7,6,6,3
123,4,5,2,5,3,5,2,4,4,2,4,4,5,4,5,4,4,4
124,2,6,6,7,4,7,4,6,7,2,4,6,5,5,7,4,4,6
125,6,5,5,5,4,4,2,6,4,6,4,2,7,7,5,4,4,4
126,4,3,5,7,7,4,7,6,6,6,2,4,3,4,5,4,5,5
127,7,4,5,3,3,4,6,4,6,6,4,4,6,4,6,4,4,4
128,7,1,4,5,4,4,7,4,1,4,4,7,6,4,1,4,4,4
129,7,7,6,4,5,2,6,4,5,6,4,5,7,6,2,4,3,6
130,4,2,1,3,4,2,3,1,3,3,6,2,3,3,1,2,4,2
131,5,7,5,3,2,1,5,5,2,6,3,1,6,3,5,4,4,2
132,3,3,4,1,2,1,5,4,1,2,2,2,5,5,6,4,3,3
133,6,6,6,5,4,3,5,4,4,4,4,3,5,5,5,4,4,4
134,4,2,2,3,4,1,2,3,1,1,1,1,6,4,3,4,4,3
135,4,5,1,1,4,1,1,1,1,1,4,1,7,5,4,4,4,1
136,4,5,5,3,3,4,4,4,4,3,4,4,3,3,5,3,4,4
137,5,4,2,4,3,5,5,4,3,2,2,2,2,3,5,4,3,3
139,7,2,5,1,7,7,7,7,7,4,4,4,7,7,7,4,4,4
140,6,6,6,6,4,4,6,5,4,5,4,4,7,7,7,4,4,5
141,3,6,4,4,5,5,2,5,5,3,5,4,6,4,4,4,4,5
142,7,5,5,3,3,2,2,4,4,3,4,4,7,7,5,4,3,3
143,7,4,5,5,7,7,7,4,2,2,2,2,2,3,2,4,2,2
144,5,5,4,3,4,5,6,5,3,5,6,4,5,5,5,1,4,4
145,4,4,1,7,4,1,5,3,3,1,4,1,7,5,4,4,5,4
146,4,4,3,2,2,5,2,5,3,6,2,5,6,3,6,4,4,5
147,4,2,2,7,1,6,5,2,6,5,2,1,4,3,2,3,3,1
148,3,4,1,5,1,1,3,2,1,7,1,1,7,4,3,7,2,1
149,5,4,4,1,7,7,5,5,4,2,4,4,7,7,6,4,4,4
150,1,7,2,5,5,3,7,5,2,2,3,2,3,5,4,3,4,3
151,5,2,2,2,3,4,5,5,5,5,3,4,6,6,6,4,2,5
152,5,6,6,4,2,4,4,3,4,4,2,1,1,4,4,4,2,4
153,5,6,2,4,4,2,5,6,5,6,5,3,7,7,7,6,5,6
154,7,7,5,6,5,4,2,6,5,3,6,3,2,6,7,7,7,7
155,2,2,2,1,2,1,1,2,1,7,4,2,1,2,2,1,1,1
156,5,6,6,3,4,4,5,5,5,2,4,1,5,4,4,4,2,6
157,7,3,4,7,5,1,5,6,7,6,5,6,5,3,5,6,5,5
158,4,3,4,6,2,2,6,5,2,2,2,2,7,7,7,4,2,2
159,6,4,4,4,4,4,5,4,4,4,4,4,7,5,4,4,4,4
161,7,6,6,7,4,3,6,4,6,6,4,2,7,7,7,7,4,7
162,4,5,7,6,1,1,5,4,1,5,1,1,4,4,4,4,3,4
163,5,5,6,6,5,6,5,5,5,6,6,6,6,5,4,6,6,5
164,6,7,2,6,5,4,2,4,5,4,4,4,6,5,5,4,4,4
165,6,6,7,6,4,2,7,5,5,6,2,2,6,6,5,7,6,6
166,2,3,2,3,3,1,7,6,4,2,2,2,6,6,5,5,5,2
167,4,4,4,4,4,5,5,5,6,6,5,5,6,6,6,5,5,5
168,5,5,6,7,6,3,6,5,6,5,5,6,1,7,6,3,6,6
169,5,3,6,7,2,6,1,4,1,6,4,2,7,5,6,7,4,4
170,6,5,4,4,4,5,6,4,5,4,3,4,6,4,6,6,7,6
171,7,1,1,6,4,6,5,5,2,4,4,4,6,5,6,4,5,2
172,3,5,2,3,2,3,4,3,2,3,2,3,5,5,4,4,2,4
173,1,7,1,4,4,5,7,4,6,7,4,6,7,7,6,7,6,6
174,7,3,1,7,7,5,7,5,1,7,4,1,7,4,3,2,3,4
175,5,4,3,7,4,7,7,3,5,6,4,5,7,7,5,7,7,7
176,1,7,5,2,2,5,4,4,4,4,4,4,3,5,1,4,4,4
177,2,3,1,5,3,5,1,4,1,1,1,1,5,6,5,3,4,3
178,1,3,7,4,4,4,6,3,7,4,4,3,5,5,7,5,3,7
179,5,4,6,3,3,5,6,6,6,5,5,5,6,6,6,4,4,4
180,3,4,1,3,5,6,6,2,2,4,7,5,7,6,6,4,7,7
181,2,5,4,5,5,5,3,3,3,4,4,3,5,5,3,5,5,3
182,6,6,3,5,4,5,7,4,2,4,4,5,6,6,6,4,4,1
183,7,5,4,2,2,6,6,5,1,1,2,7,7,6,7,4,4,7
184,6,1,1,4,4,1,6,1,1,2,4,1,7,7,7,4,4,4
185,5,6,1,7,6,7,4,7,4,5,5,1,4,7,6,4,4,4
186,7,4,5,1,4,2,2,4,1,5,5,1,6,7,7,1,4,4
187,7,7,6,7,2,5,7,1,7,7,7,7,6,4,6,7,7,7
188,4,3,4,4,4,6,4,3,4,5,4,4,6,3,3,3,4,3
189,4,3,3,4,3,2,3,4,3,3,4,3,4,4,4,4,3,3
190,6,4,5,1,2,4,7,4,5,3,2,4,6,5,7,6,5,5
191,4,2,1,3,2,1,7,7,7,7,4,6,6,4,3,2,4,5
192,3,2,6,7,1,5,4,4,4,6,5,4,1,6,5,2,4,4
193,7,7,5,7,4,7,6,5,5,4,7,7,6,6,2,7,7,7
194,3,5,1,6,4,5,6,3,6,3,5,5,6,6,2,5,5,7
195,4,2,3,5,4,4,4,3,5,4,4,4,5,4,4,4,4,4
196,5,4,4,6,4,5,3,5,3,4,2,2,7,6,4,3,1,1
197,2,5,4,6,6,6,2,5,5,6,5,4,7,6,6,4,5,5
199,3,2,2,5,5,1,5,3,1,5,3,4,6,5,4,6,4,3
200,7,7,7,5,4,5,1,4,1,1,2,1,7,7,7,4,4,4
201,7,6,6,7,5,1,6,1,1,4,3,2,5,5,1,4,4,1
202,6,6,1,6,4,1,6,2,1,6,1,3,5,4,4,6,2,2
203,4,4,6,7,4,5,6,5,5,5,2,2,6,5,6,4,4,4
204,6,5,2,1,1,4,5,3,5,4,6,2,7,5,6,6,4,2
206,4,3,4,2,1,6,1,6,4,1,5,1,7,3,6,4,5,2
207,5,5,3,7,4,5,7,5,5,5,5,5,3,6,5,7,6,5
208,6,4,6,2,2,4,6,2,5,7,3,6,6,5,5,3,2,1
209,4,5,7,4,5,7,6,5,4,4,4,5,6,5,6,7,6,5
210,4,2,1,7,4,2,2,4,1,3,5,2,6,5,4,4,4,2
211,7,5,6,5,3,5,6,6,3,2,2,2,2,3,3,4,4,5
212,4,3,2,2,2,2,4,4,4,5,4,4,6,3,5,4,4,4
213,7,1,1,7,1,1,7,1,1,7,1,1,7,1,1,4,4,4
215,6,5,3,1,7,1,7,6,6,6,5,6,6,4,5,4,5,5
216,1,3,5,1,4,1,5,4,4,6,4,5,3,4,3,4,4,4
217,3,4,5,1,2,1,2,4,5,4,4,1,6,5,6,6,2,6
218,4,5,2,1,1,1,3,1,2,2,1,1,6,5,6,5,4,5
219,5,4,5,6,5,4,6,2,5,4,5,6,7,5,6,4,4,6
220,7,1,7,1,7,7,7,1,1,1,1,7,7,1,7,7,7,1
221,2,4,5,4,4,4,5,4,4,4,4,3,5,5,6,4,4,4
222,6,2,5,2,3,1,3,2,1,4,4,3,5,4,4,4,3,4
223,6,4,5,4,3,6,3,5,3,4,4,3,4,4,5,4,3,2
224,2,6,5,2,3,4,5,4,4,6,4,5,7,3,5,7,6,6
225,1,7,1,7,5,6,7,4,5,2,5,1,5,6,6,4,4,4
226,2,6,1,3,3,3,5,3,5,6,5,5,5,5,5,5,5,4
227,3,3,2,6,3,5,4,5,5,6,5,5,6,5,5,5,4,5
228,2,6,6,3,5,4,5,4,4,4,4,3,5,5,5,4,4,4
229,5,4,2,4,2,2,4,3,2,1,2,3,4,6,2,3,2,5
230,1,4,5,7,2,1,5,5,5,7,5,3,3,4,6,7,2,6
231,7,7,7,4,3,2,7,7,7,6,6,6,5,4,6,7,6,7
232,1,2,1,1,1,1,4,4,1,3,3,1,1,4,3,1,1,1
233,5,4,4,4,4,4,6,2,5,1,3,5,3,3,6,6,4,5
234,2,4,1,4,3,3,7,7,4,7,3,1,5,5,6,4,4,2
235,6,3,4,4,4,4,6,3,4,4,4,4,7,2,6,6,4,6
236,5,7,6,5,4,4,6,4,5,4,2,2,1,4,2,4,4,4
237,7,7,7,3,4,6,5,6,5,6,5,6,3,5,1,1,5,7
238,4,4,1,7,4,5,7,6,1,6,4,1,4,7,5,4,4,1
239,7,7,7,2,6,2,4,6,5,4,3,3,3,4,4,5,4,4
240,5,4,3,5,4,3,6,2,1,7,1,6,6,2,7,4,4,1
241,7,5,4,3,2,5,5,4,4,4,4,5,6,4,5,4,4,5
242,3,7,5,7,5,6,7,6,6,5,4,1,7,6,6,6,4,5
244,7,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
245,4,4,4,6,6,6,5,4,4,5,5,4,6,5,6,6,5,6
246,1,7,3,4,4,4,4,4,4,4,4,3,5,5,5,4,4,4
247,3,6,2,6,5,6,3,5,4,6,5,3,6,6,6,3,3,2
248,6,3,2,2,4,1,6,6,5,6,2,1,5,5,5,7,5,5
249,3,7,5,7,3,3,5,4,4,4,2,2,3,3,4,1,4,4
250,6,4,2,4,3,5,7,5,5,5,4,3,7,5,7,6,5,6
251,4,3,5,5,4,4,5,5,5,4,4,4,4,5,2,2,4,5
252,2,2,2,4,2,5,4,3,3,4,4,3,3,3,3,2,2,2
253,7,5,5,7,6,6,4,3,4,5,4,2,7,4,6,4,4,4
254,4,4,4,3,4,4,6,6,6,3,4,4,6,6,6,4,4,4
255,6,4,5,4,3,4,6,4,6,4,4,3,4,4,6,4,4,4
256,7,7,7,1,2,3,6,4,4,4,1,1,7,5,6,1,1,1
257,2,7,3,7,4,6,7,4,6,6,3,5,4,4,5,6,5,5
258,7,3,4,4,3,4,3,4,4,4,4,3,2,4,5,6,4,5
259,7,6,2,7,2,2,7,5,4,4,5,5,7,4,5,6,5,5
260,5,6,4,2,6,1,5,4,4,4,4,3,2,5,5,4,4,4
261,4,5,3,5,3,5,5,4,2,4,4,4,4,4,3,4,4,3
262,7,4,6,4,4,6,7,7,7,7,7,7,4,6,4,4,3,4
263,7,5,2,7,2,6,7,7,4,1,3,1,7,7,7,7,7,7
264,2,6,4,2,5,3,3,3,2,3,3,4,6,6,6,4,7,5
265,2,3,2,6,4,6,4,2,5,2,4,4,6,5,6,4,4,4
266,6,5,5,4,5,5,6,3,4,4,2,3,2,3,5,4,2,2
267,7,5,2,5,4,5,5,6,6,5,5,5,4,5,3,4,5,5
268,5,2,3,4,3,1,7,2,2,4,4,1,6,3,2,4,4,4
269,4,3,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
270,6,5,2,5,4,4,5,4,3,4,3,4,4,4,3,5,4,4
271,6,4,5,2,4,4,6,4,7,5,3,6,5,6,3,5,5,5
272,6,6,7,4,4,4,5,6,6,4,3,3,6,6,5,4,4,4
273,5,2,2,2,4,1,7,7,7,2,4,1,7,7,4,5,5,6
274,5,5,2,6,4,2,6,2,2,5,2,4,4,4,3,4,4,4
275,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
276,4,2,4,4,3,4,1,6,2,2,4,3,4,4,3,2,3,2
277,5,6,4,3,2,1,5,3,2,5,2,2,4,4,5,3,5,4
279,7,3,4,6,1,2,4,3,3,4,2,2,3,3,2,4,4,1
280,3,5,1,7,2,1,1,4,1,7,1,1,6,4,6,4,4,2
281,5,5,6,7,2,5,6,6,1,6,2,3,7,6,4,1,4,5
282,2,5,2,3,3,5,4,3,6,4,5,2,2,4,5,6,6,6
283,6,3,3,5,4,4,4,4,2,4,3,2,4,3,4,6,4,4
284,3,4,1,3,4,1,7,5,1,5,4,7,5,6,5,1,5,4
285,4,6,5,7,6,5,5,5,6,5,6,5,4,5,5,6,5,4
286,7,5,7,4,5,6,6,6,4,4,4,3,7,6,3,4,4,4
287,5,2,4,6,5,1,7,5,4,2,5,3,7,5,3,7,4,5
288,7,7,6,3,4,5,6,4,4,6,7,6,6,4,1,1,2,3
289,4,4,1,2,2,1,4,4,4,2,1,1,3,2,4,4,2,4
290,3,4,3,4,4,4,2,4,5,6,6,5,2,7,4,3,4,3
291,4,5,5,1,4,1,5,4,4,4,4,4,4,4,6,4,2,4
292,4,2,3,6,3,3,6,3,2,7,4,5,7,3,3,7,3,3
293,5,3,2,2,1,1,6,1,3,4,1,3,6,3,4,4,2,4
294,5,4,4,7,1,2,5,4,4,4,4,3,7,5,4,6,2,4
295,4,2,1,6,3,1,4,2,1,1,2,4,3,2,3,4,2,1
296,4,5,5,1,6,5,5,3,1,1,1,1,4,4,4,7,6,4
297,5,6,6,5,5,5,5,5,4,4,5,3,7,5,7,4,4,4
298,6,5,6,6,4,2,5,6,6,6,3,3,6,6,6,4,6,6
299,4,4,6,7,4,7,6,4,6,5,5,5,6,7,7,2,4,6
300,3,5,6,3,5,1,7,1,1,4,2,1,5,5,6,7,5,7
301,4,4,1,6,2,3,2,4,4,4,4,4,4,4,4,4,4,3
302,4,5,6,5,3,4,7,5,6,4,4,3,6,5,4,7,6,5
303,1,4,1,5,4,6,2,4,1,2,4,2,6,4,6,4,4,2
304,4,3,4,6,1,1,4,2,4,4,4,4,6,6,6,6,5,5
305,4,3,3,3,2,2,6,4,4,2,2,1,6,4,4,5,4,5
306,6,3,1,6,4,3,5,3,2,5,2,2,7,6,6,4,3,2
307,7,5,7,7,7,1,7,5,7,4,4,1,7,6,7,7,5,7
308,1,4,1,1,4,1,4,2,1,2,2,6,4,4,5,4,4,4
309,4,3,5,5,4,2,4,4,1,7,4,4,2,6,3,4,5,5
310,7,5,7,5,5,4,3,4,4,1,4,1,7,4,5,4,4,4
311,7,7,1,7,5,7,4,5,4,6,5,5,6,6,6,4,5,6
312,7,3,7,1,4,7,7,7,1,7,2,1,7,7,7,4,4,1
313,2,2,4,4,4,4,6,5,5,6,4,2,6,4,4,4,4,1
314,4,5,5,4,2,2,5,5,5,4,4,4,3,4,4,4,4,4
315,4,4,3,6,4,4,4,5,5,3,5,4,6,5,5,4,5,5
316,7,3,2,4,4,2,5,3,4,2,3,3,6,3,5,4,3,2
317,4,4,1,6,2,2,5,3,2,6,2,2,2,5,1,6,3,3
318,6,7,7,7,7,4,1,4,4,4,4,2,7,4,4,3,2,4
319,6,6,5,6,6,2,2,4,2,1,3,1,7,7,6,6,4,5
320,3,2,1,4,5,5,4,3,5,4,4,4,3,5,5,4,4,3
321,4,3,1,4,2,7,7,6,5,4,4,5,7,6,3,4,4,1
322,5,6,6,4,4,5,5,6,6,6,2,6,4,3,5,6,6,7
323,2,4,7,2,1,7,4,3,5,4,1,7,7,3,7,1,4,4
324,4,4,2,1,3,2,4,4,4,1,3,4,5,5,5,4,4,4
325,5,2,4,3,2,4,4,3,1,2,3,3,6,2,2,4,4,4
326,7,4,1,1,7,1,7,1,1,1,7,1,7,7,7,1,7,1
327,5,4,5,1,5,7,4,4,4,4,4,4,2,6,6,6,6,5
328,2,3,3,4,4,4,4,3,2,4,5,4,5,3,2,7,4,2
330,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
331,5,2,4,5,2,4,6,2,5,5,1,4,4,3,5,4,3,4
332,7,5,4,3,6,4,6,2,5,1,4,3,3,5,4,4,4,4
333,6,3,6,7,4,6,7,6,6,4,4,2,4,4,6,7,7,6
334,4,6,4,4,2,1,7,5,1,5,2,1,7,4,4,4,4,4
335,5,5,6,5,5,2,3,3,5,5,5,3,2,6,7,4,5,2
336,1,4,1,6,5,5,3,3,5,4,3,2,3,2,4,5,4,5
337,3,5,2,1,4,7,5,2,5,4,5,5,6,6,6,6,6,6
338,2,4,1,4,3,1,5,4,5,5,5,5,4,7,7,5,5,4
339,5,4,4,5,1,1,5,2,2,5,2,2,3,4,4,4,4,4
340,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
341,6,5,5,2,4,2,2,4,2,5,4,2,6,6,6,5,4,4
342,3,4,6,4,2,3,3,5,3,4,4,3,4,5,5,5,4,5
343,6,5,5,5,4,2,4,6,6,4,6,6,7,7,7,4,4,3
344,7,5,2,6,2,1,4,4,1,5,2,2,5,3,2,4,3,1
345,6,3,5,4,4,7,5,3,3,5,4,4,6,6,6,4,3,3
346,6,2,1,6,5,2,6,7,6,6,1,2,6,2,4,4,4,4
347,4,3,5,2,6,5,5,4,4,5,3,3,7,5,2,6,4,5
348,4,4,5,3,5,1,5,4,3,6,4,1,6,4,2,4,3,1
349,6,6,4,4,4,4,6,4,5,4,4,3,4,4,4,4,4,4
350,4,4,5,3,5,6,4,3,4,5,4,5,2,6,4,4,4,6
351,5,4,4,1,3,5,7,6,2,2,5,3,1,6,3,1,4,4
352,6,1,1,4,1,1,7,4,7,1,1,1,3,3,3,7,1,4
353,2,7,7,5,4,5,6,6,6,2,4,4,5,5,5,6,6,6
354,4,3,3,6,1,6,4,3,4,5,2,1,5,4,4,4,3,4
355,3,5,1,6,3,2,4,3,1,1,2,3,7,7,6,4,3,1
356,6,5,2,4,4,3,4,2,2,4,2,1,5,3,5,4,2,1
357,6,6,6,7,4,6,7,4,1,7,1,1,7,7,7,7,3,6
358,4,4,1,5,4,2,2,3,1,3,3,1,4,4,3,4,4,1
359,5,2,3,4,4,4,4,2,2,5,4,4,5,2,4,4,4,2
360,7,1,4,7,5,6,4,6,3,6,6,6,3,7,7,2,5,1
361,7,6,5,5,2,1,6,4,4,7,4,3,7,5,5,6,3,1
362,4,5,5,7,4,5,6,5,5,3,5,1,6,5,5,1,4,4
364,2,7,1,4,4,4,5,4,4,4,4,4,7,4,4,6,4,4
365,3,6,4,3,4,2,5,5,4,2,3,3,6,4,5,7,6,6
366,4,6,6,4,4,4,4,4,1,4,2,1,7,6,2,4,3,2
367,3,6,5,4,7,4,2,4,5,2,4,5,3,5,6,4,4,6
368,1,5,3,7,5,5,3,3,2,6,3,5,7,6,5,3,2,2
369,1,7,3,4,1,1,1,4,1,1,1,1,2,4,4,4,4,1
370,6,5,6,6,4,5,7,7,6,4,5,5,6,6,6,2,3,1
371,5,3,5,1,7,1,1,4,1,1,4,1,6,4,7,4,4,7
372,3,2,3,6,2,6,4,4,4,6,4,1,6,5,5,6,4,3
374,4,3,5,3,2,4,3,3,3,5,4,4,4,4,4,5,4,4
375,7,2,1,7,5,3,6,5,4,6,5,1,7,3,3,4,4,1
376,2,2,7,1,2,2,1,1,1,4,4,4,1,4,4,4,4,4
